Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
ELEC00627,Rajan Sharma,Laptops & Computers,Computer Peripherals,Noida,01-01-2020,North,42667.33,0.3,-3883.96,Uttar Pradesh
ELEC02940,Siddharth Banerjee,Wearables & Fitness,Wireless Earbuds,Patna,01-01-2020,East,6624.92,0.35,-676.06,Bihar
ELEC04291,Riya Rao,Wearables & Fitness,Smartwatches,Patna,01-01-2020,East,5458.39,0.15,617.48,Bihar
ELEC01980,Sanvi Singh,Televisions,OLED TVs,Patna,02-01-2020,East,162553.08,0.0,7810.49,Bihar
ELEC00758,Bhavna Verma,Wearables & Fitness,Fitness Bands,Coimbatore,02-01-2020,South,47035.13,0.0,8176.8,Tamil Nadu
ELEC04068,Tejas Yadav,Mobiles & Tablets,Tablets,Nagpur,02-01-2020,West,111159.62,0.05,1656.09,Maharashtra
ELEC00019,Poonam Bose,Networking,Switches,Kolkata,02-01-2020,East,3820.1,0.1,426.68,West Bengal
ELEC03393,Sanvi Mehta,Home Appliances,Washing Machines,Surat,03-01-2020,West,41255.46,0.35,-3101.52,Gujarat
ELEC00577,Amit Krishnan,Networking,Routers,Nashik,03-01-2020,West,2504.84,0.1,434.18,Maharashtra
ELEC01897,Suresh Menon,Cameras & Photography,DSLR Cameras,Bhopal,04-01-2020,Central,114530.4,0.15,867.11,Madhya Pradesh
ELEC02647,Bhavna Tiwari,Audio & Headphones,Bluetooth Speakers,Bhopal,04-01-2020,Central,8929.36,0.4,177.06,Madhya Pradesh
ELEC01763,Deepika Kumar,Mobiles & Tablets,Smartphones,Gurgaon,04-01-2020,North,117895.18,0.0,15984.16,Haryana
ELEC03867,Kavya Krishnan,Networking,Routers,Vadodara,04-01-2020,West,715.29,0.1,101.19,Gujarat
ELEC03905,Dhruv Chauhan,Laptops & Computers,Desktops,Thiruvananthapuram,05-01-2020,South,33183.93,0.05,2878.38,Kerala
ELEC03695,Naina Banerjee,Televisions,LED TVs,Gurgaon,06-01-2020,North,62179.55,0.4,-10443.72,Haryana
ELEC03502,Kavya Singh,Televisions,LED TVs,Noida,06-01-2020,North,93287.3,0.05,7039.37,Uttar Pradesh
ELEC02068,Divya Yadav,Laptops & Computers,Computer Peripherals,Ranchi,06-01-2020,East,26239.06,0.15,38.9,Jharkhand
ELEC02488,Shruti Mehta,Laptops & Computers,Computer Peripherals,Coimbatore,06-01-2020,South,65700.01,0.0,7297.54,Tamil Nadu
ELEC01385,Rahul Rao,Audio & Headphones,Headphones,Delhi,07-01-2020,North,16842.43,0.2,1703.96,Delhi
ELEC04904,Uday Nair,Gaming,Gaming Laptops,Surat,07-01-2020,West,26077.97,0.15,2682.63,Gujarat
ELEC02454,Dhruv Gupta,Televisions,LED TVs,Visakhapatnam,07-01-2020,South,194805.31,0.0,12543.83,Andhra Pradesh
ELEC01797,Aarav Banerjee,Home Appliances,Microwaves,Thiruvananthapuram,08-01-2020,South,6482.99,0.05,706.39,Kerala
ELEC03813,Suresh Krishnan,Home Appliances,Washing Machines,Ranchi,08-01-2020,East,21699.7,0.1,2518.01,Jharkhand
ELEC03079,Manish Chauhan,Home Appliances,Geysers,Nagpur,09-01-2020,West,33332.51,0.05,2289.27,Maharashtra
ELEC04439,Bhavna Iyer,Audio & Headphones,Earphones,Thiruvananthapuram,09-01-2020,South,5484.28,0.25,-148.07,Kerala
ELEC03354,Ishan Mishra,Audio & Headphones,Home Theatre,Nagpur,09-01-2020,West,4816.6,0.3,355.15,Maharashtra
ELEC03455,Zara Malhotra,Home Appliances,Washing Machines,Coimbatore,10-01-2020,South,10948.13,0.35,-1078.84,Tamil Nadu
ELEC03764,Kunal Banerjee,Mobiles & Tablets,Tablets,Chennai,10-01-2020,South,9299.62,0.2,440.9,Tamil Nadu
ELEC03575,Zara Mehta,Home Appliances,Refrigerators,Amritsar,10-01-2020,North,24576.62,0.05,3055.7,Punjab
ELEC01435,Radhika Singh,Laptops & Computers,Storage Devices,Delhi,11-01-2020,North,11561.32,0.05,584.2,Delhi
ELEC02895,Nikhil Ghosh,Gaming,Gaming Laptops,Raipur,11-01-2020,Central,33230.92,0.35,-2681.17,Chhattisgarh
ELEC01006,Chirag Rao,Networking,Network Adapters,Gurgaon,11-01-2020,North,3356.75,0.05,423.91,Haryana
ELEC04092,Rajan Banerjee,Gaming,Gaming Peripherals,Jaipur,11-01-2020,North,33112.37,0.4,-4476.58,Rajasthan
